implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,agaricus-lepiota.data,7,distance,euclidean,0.050815582275390625,0.18040966987609863,0.0,0.04409217834472656,-0.00390625,0.9995378048927224,0.0009243902135519288,0.9995215311004768,0.0009569377990430892,0.9995215311004768,0.0009569377990430892,1.0,0.0,0.001626259945622053,0.0016068894911623623,0.0009751400524406005,0.0011891664856937827,0.0010655716001106226,0.0007787972293349473,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0006085372809568623,0.00016700615144216475,0.000561039994247917
sklearn,agaricus-lepiota.data,7,distance,manhattan,0.050815582275390625,0.5739984512329102,0.0020029544830322266,0.16988062858581543,0.1015625,0.9999999999994984,0.0,0.9999999999999984,0.0,0.9999999999999984,0.0,1.0,0.0,0.00048412302924529264,0.0006738558914092373,0.00024782643993526675,0.00043732152702110163,0.0003966525229667275,0.0005162477807067491,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.00017687360877256545,2.5279074527627308e-05,0.00017019312620742235
sklearn,agaricus-lepiota.data,9,uniform,euclidean,0.050815582275390625,0.4441971778869629,0.002007722854614258,0.11374926567077637,-0.00390625,0.9987672189204947,0.0021016832536755337,0.9987238281588358,0.002175092611776093,0.9987238281588358,0.002175092611776093,1.0,0.0,0.0033318370537277287,0.0034115512923055214,0.002047574034230437,0.002515355770474589,0.0016582907298842633,0.0007481166667933714,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0017291423265271752,0.0010332383665716998,0.0013675213675213675
sklearn,agaricus-lepiota.data,9,uniform,manhattan,0.050815582275390625,0.7499887943267822,0.0,0.18335843086242676,-0.0078125,0.99922963866761,0.0011934526460793305,0.9992022970583573,0.0012354014914344631,0.9992022970583573,0.0012354014914344631,1.0,0.0,0.0015608463487589478,0.0023164773072156812,0.001037048734251711,0.0017218684027886617,0.0007008810195877171,0.0007360169555477588,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0014572452482019748,0.0008357075023741689,0.0011623931623931623
sklearn,agaricus-lepiota.data,9,distance,euclidean,0.050815582275390625,0.1919546127319336,0.002354860305786133,0.06109809875488281,-0.00390625,0.9992295835182748,0.0015408329624469806,0.9992025518341292,0.0015948963317384823,0.9992025518341292,0.0015948963317384823,1.0,0.0,0.002151855240037643,0.0019466565556146742,0.001209712228040795,0.001447066194067842,0.0014356967069691228,0.0008817652841615835,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0009296277294703024,0.00035721478658129734,0.0008232878816149483
sklearn,agaricus-lepiota.data,9,distance,manhattan,0.050815582275390625,0.7120988368988037,0.0009999275207519531,0.18390774726867676,0.0,0.9996918876380304,0.000616224722935943,0.9996810207336507,0.0006379585326953929,0.9996810207336507,0.0006379585326953929,1.0,0.0,0.0005832855491816056,0.0008125017268739284,0.0003294112064681523,0.0005890527909089774,0.0003038203005102585,0.00027961373873968434,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0003184795851447366,5.680373875187257e-05,0.0003032476160764959
sklearn,agaricus-lepiota.data,11,uniform,euclidean,0.050815582275390625,0.5291070938110352,0.0010044574737548828,0.13232064247131348,-0.00390625,0.9986130384394892,0.0024073194650102874,0.998564338525662,0.0024912425214799485,0.998564338525662,0.0024912425214799485,0.9999997629904911,4.740190176377723e-07,0.004526859206781151,0.0034392634409185214,0.002728706663201729,0.0026748746298263753,0.0023639270660056307,0.0008452677939794548,0.9981511547597917,0.9980842911877382,0.9980842911877382,1.0,0.002784325444944586,0.001729179910998093,0.0015664335664336202
sklearn,agaricus-lepiota.data,11,uniform,manhattan,0.050815582275390625,0.7602124214172363,0.0,0.17558526992797852,-0.00390625,0.99922963866761,0.0011934526460793305,0.9992022970583573,0.0012354014914344631,0.9992022970583573,0.0012354014914344631,1.0,0.0,0.0018326922645085203,0.0022685970842220115,0.0011290742989252332,0.0016650099377206855,0.0008671867009049664,0.0005893599463976229,0.9993837752765629,0.999361430395912,0.999361430395912,1.0,0.0017189916380745403,0.0010171646535282897,0.0006713286713286729
sklearn,agaricus-lepiota.data,11,distance,euclidean,0.050815582275390625,0.20290255546569824,0.0009789466857910156,0.06060194969177246,-0.00390625,0.9992295835182748,0.0015408329624469806,0.9992025518341292,0.0015948963317384823,0.9992025518341292,0.0015948963317384823,1.0,0.0,0.002958169351047731,0.0020592771078586994,0.001614830982035365,0.0016032741926946174,0.0018500147735301662,0.0006485621146713052,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0014799922522707243,0.0006597687015838726,0.0012740197781333897
sklearn,agaricus-lepiota.data,11,distance,manhattan,0.050815582275390625,0.6562638282775879,0.0010073184967041016,0.18207550048828125,-0.00390625,0.9995378048927224,0.0009243902135519288,0.9995215311004768,0.0009569377990430892,0.9995215311004768,0.0009569377990430892,1.0,0.0,0.0007364119986290115,0.0008312796720715686,0.00038691108535854584,0.0006240381035854443,0.00058961601330699,0.0005818762684986153,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0004150694125426366,9.471313662910587e-05,0.000389043000084933
