implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,Column1,cv_macro_recall_mean,Column2,cv_macro_sensitivity_mean,Column3,cv_macro_roc_auc_mean,Column4,cv_cross_entropy_mean,Column5,cv_brier_mean,Column6,cv_ece_mean,Column7,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,iris,21,distance,manhattan,0.101630211,0.018472433,0.000990391,0.00368619,0,0.957970744,,0.958333333,,0.958333333,,0.994791667,,0.148252137,,0.080862426,,0.091599788,,0.933333333,0.933333333,0.933333333,0.99,0.160009796,0.091285797,0.064579505
sklearn,wine,3,uniform,euclidean,0.003001213,0.024064541,0.001012325,0.003998518,0,0.925062925,,0.935858586,,0.935858586,,0.980875883,,0.850881342,,0.108100712,,0.053940887,,0.974320988,0.976190476,0.976190476,0.998917749,0.075568687,0.049382716,0.018518519
sklearn,wine,3,uniform,manhattan,0.003001213,0.030096769,0,0.005513191,0,0.951515278,,0.958585859,,0.958585859,,0.992152068,,0.452455035,,0.070552819,,0.02816092,,0.974320988,0.976190476,0.976190476,0.999458874,0.053042847,0.037037037,0
sklearn,wine,3,distance,euclidean,0.003001213,0.0185287,0,0.003519297,0,0.925062925,,0.935858586,,0.935858586,,0.98126247,,0.852066282,,0.109121346,,0.054865908,,0.974320988,0.976190476,0.976190476,1,0.072034276,0.046392178,0.034279911
sklearn,wine,3,distance,manhattan,0.003001213,0.018035889,0,0.003005981,0,0.951515278,,0.958585859,,0.958585859,,0.992525253,,0.450555271,,0.068972133,,0.037362357,,0.974320988,0.976190476,0.976190476,1,0.049532789,0.034161802,0.033938467
sklearn,wine,5,uniform,euclidean,0.003001213,0.02404213,0,0.005039454,0,0.951247727,,0.959090909,,0.959090909,,0.991544443,,0.472921832,,0.080078818,,0.046502463,,0.971781305,0.976190476,0.976190476,0.998817849,0.091022314,0.051111111,0.038888889
sklearn,wine,5,uniform,manhattan,0.003001213,0.024043322,0,0.004523039,0,0.938160679,,0.946969697,,0.946969697,,0.998780113,,0.100192837,,0.0648867,,0.0491133,,1,1,1,1,0.06736253,0.035555556,0.055555556
sklearn,wine,5,distance,euclidean,0.003001213,0.0185256,0.000513792,0.003005743,0,0.951247727,,0.959090909,,0.959090909,,0.991544443,,0.472552249,,0.080185294,,0.046478945,,0.971781305,0.976190476,0.976190476,1,0.086205732,0.047958434,0.044172701
sklearn,wine,5,distance,manhattan,0.003001213,0.018045425,0,0.003999233,0,0.93790391,,0.946969697,,0.946969697,,1,,0.096609082,,0.062138538,,0.058532047,,1,1,1,1,0.062768576,0.032657993,0.051843434
sklearn,wine,7,uniform,euclidean,0.003001213,0.025569201,0.001002789,0.003997326,0,0.951247727,,0.959090909,,0.959090909,,0.995333886,,0.294725038,,0.074042425,,0.05330753,,1,1,1,1,0.093718324,0.053287982,0.075396825
