implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,zoo.csv,9,distance,manhattan,0.002992391586303711,0.06849908828735352,0.0,0.01134347915649414,0.0,0.8682539682530054,0.11219426696539174,0.8880952380946912,0.09805362039027149,0.8880952380946912,0.09805362039027149,0.989010989010989,0.0,0.18071814738805175,0.05660097689903831,0.09546732518079612,0.03499329554292756,0.07817904019913495,0.02595392257063654,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.15087830311164185,0.0772894521025543,0.06886109252059093
sklearn,zoo.csv,11,uniform,euclidean,0.002992391586303711,0.05668354034423828,0.0,0.007905244827270508,0.0,0.5519425019419828,0.05728748796368296,0.6309523809520602,0.04390259265376143,0.6309523809520602,0.04390259265376143,0.9505494505494506,0.0,0.45110276619720313,0.0890078675096639,0.2288075560802833,0.04451113148823165,0.13116883116883116,0.03904752306070886,0.7731379731372577,0.809523809523493,0.809523809523493,0.9916725310813981,0.30746029109938994,0.16422287390029325,0.14076246334310846
sklearn,zoo.csv,11,uniform,manhattan,0.002992391586303711,0.029910802841186523,0.0,0.010170698165893555,0.0,0.582832722832159,0.11229413144592183,0.6642857142853602,0.0935565843065405,0.6642857142853602,0.0935565843065405,0.967032967032967,0.0,0.42113432790665895,0.0807661491959989,0.21983471074380162,0.04320810821437127,0.14025974025974028,0.02118117718220791,0.8285714285706833,0.8571428571425247,0.8571428571425247,0.9950738916256158,0.29941316659512734,0.15409224206878167,0.15835777126099707
sklearn,zoo.csv,11,distance,euclidean,0.002992391586303711,0.06017351150512695,0.002027273178100586,0.00982356071472168,0.0,0.7922743922735422,0.11851908867242328,0.8261904761899912,0.0986300722723575,0.8261904761899912,0.0986300722723575,0.9780219780219781,0.0,0.256690357495345,0.05872757924685265,0.12625030316825236,0.026365366657314527,0.08656902273749313,0.03724183605340523,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.22605442171488152,0.11796285965437873,0.13451084346904954
sklearn,zoo.csv,11,distance,manhattan,0.002992391586303711,0.06219124794006348,0.0,0.01009678840637207,0.0,0.8682539682530054,0.11219426696539174,0.8880952380946912,0.09805362039027149,0.8880952380946912,0.09805362039027149,0.989010989010989,0.0,0.19640558003454997,0.04873567901366504,0.09751967405111246,0.027138454117616513,0.08170450133250881,0.034415596964911234,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.17641373454086726,0.08779724732309863,0.05808428720157802
sklearn,zoo.csv,13,uniform,euclidean,0.002992391586303711,0.05563950538635254,0.0,0.009966611862182617,0.0,0.5497779997774871,0.061545266025614456,0.6309523809520602,0.04390259265376143,0.6309523809520602,0.04390259265376143,0.9340659340659341,0.0,0.5237002688612771,0.07571283176290569,0.2540997464074387,0.03705730820278448,0.13076923076923075,0.010654241444871046,0.7714285714278594,0.809523809523493,0.809523809523493,0.9914900826230876,0.35126441794690544,0.18553158999809125,0.141439205955335
sklearn,zoo.csv,13,uniform,manhattan,0.002992391586303711,0.037840843200683594,0.0,0.0045697689056396484,0.0,0.6550549450542766,0.14436510608574488,0.7309523809519602,0.1009029528590685,0.7309523809519602,0.1009029528590685,0.9615384615384616,0.0,0.4873563005332285,0.07019048621297024,0.24108199492814877,0.036959998136858574,0.18351648351648348,0.03831999071244549,0.6753246753241507,0.7142857142855247,0.7142857142855247,0.993742017879949,0.3306302729273092,0.17560603168543615,0.12655086848635236
sklearn,zoo.csv,13,distance,euclidean,0.002992391586303711,0.057718753814697266,0.0,0.014939069747924805,0.0,0.7537462537454616,0.06848366823710504,0.7928571428566913,0.050843229771553096,0.7928571428566913,0.050843229771553096,0.9780219780219781,0.0,0.2805277136814316,0.04934407116904853,0.13356004678270206,0.022068162126825816,0.10040410737608678,0.011300330005031941,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.24605205406251796,0.12803067451197106,0.15142696232261885
sklearn,zoo.csv,13,distance,manhattan,0.002992391586303711,0.05721879005432129,0.0,0.012543678283691406,0.0,0.8682539682530054,0.11219426696539174,0.8880952380946912,0.09805362039027149,0.8880952380946912,0.09805362039027149,0.989010989010989,0.0,0.21383273929871702,0.04487490573838339,0.10248576487857435,0.023270684661831485,0.08771116095310724,0.04005180692327037,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.1846970856957735,0.09250262677005679,0.07194789084396827
sklearn,zoo.csv,15,uniform,euclidean,0.002992391586303711,0.055136919021606445,0.0,0.010262489318847656,0.0,0.5871493585773562,0.1105038705906979,0.6642857142853602,0.0935565843065405,0.6642857142853602,0.0935565843065405,0.950091575091575,0.0,0.5953327713873927,0.07006959669508897,0.2845714285714286,0.036852535156250525,0.18571428571428572,0.03525096290156524,0.8302808302800815,0.8571428571425247,0.8571428571425247,0.9912789636927568,0.4036662672750778,0.20157706093189964,0.1827956989247312
